Year,Inmates,Value
2000 ,At the end of previous year,8107
2001 ,At the end of previous year,8178
2002 ,At the end of previous year,8232
2003 ,At the end of previous year,9640
2004 ,At the end of previous year,10247
2005 ,At the end of previous year,10086
2006 ,At the end of previous year,6326
2007 ,At the end of previous year,4986
2008 ,At the end of previous year,7135
2009 ,At the end of previous year,6848
2010 ,At the end of previous year,6658
2011 ,At the end of previous year,5400
2012 ,At the end of previous year,4861
2013 ,At the end of previous year,5102
2000 ,Admitted for the year,14094
2001 ,Admitted for the year,13339
2002 ,Admitted for the year,14163
2003 ,Admitted for the year,13087
2004 ,Admitted for the year,16443
2005 ,Admitted for the year,8678
2006 ,Admitted for the year,5554
2007 ,Admitted for the year,7910
2008 ,Admitted for the year,7234
2009 ,Admitted for the year,1936
2010 ,Admitted for the year,7605
2011 ,Admitted for the year,4789
2012 ,Admitted for the year,5473
2013 ,Admitted for the year,5136
2000 ,Discharged for the year (a),7359
2001 ,Discharged for the year (a),7392
2002 ,Discharged for the year (a),6842
2003 ,Discharged for the year (a),8399
2004 ,Discharged for the year (a),9898
2005 ,Discharged for the year (a),9296
2006 ,Discharged for the year (a),5463
2007 ,Discharged for the year (a),3729
2008 ,Discharged for the year (a),5572
2009 ,Discharged for the year (a),5471
2010 ,Discharged for the year (a),5840
2011 ,Discharged for the year (a),4486
2012 ,Discharged for the year (a),3955
2013 ,Discharged for the year (a),4466
2000 ,At the end of the year,8178
2001 ,At the end of the year,8232
2002 ,At the end of the year,9640
2003 ,At the end of the year,10247
2004 ,At the end of the year,10086
2005 ,At the end of the year,6326
2006 ,At the end of the year,4986
2007 ,At the end of the year,7135
2008 ,At the end of the year,6848
2009 ,At the end of the year,6658
2010 ,At the end of the year,5400
2011 ,At the end of the year,4861
2012 ,At the end of the year,5102
2013 ,At the end of the year,4804
