Year ,Sex,Value
2000,Male,30084 
2000,Female,509 
2001,Male,31024 
2001,Female,532 
2002,Male,31492 
2002,Female,401 
2003,Male,36417 
2003,Female,579 
2004,Male,37980 
2004,Female,692 
2005,Male,32141 
2005,Female,667 
2006,Male,22348 
2006,Female,463 
2007,Male,14141 
2007,Female,348 
2008,Male,12076 
2008,Female,276 
2009,Male,15458 
2009,Female,278 
2010,Male,23062 
2010,Female,580 
2011,Male,11002 
2011,Female,192 
2012,Male,8849 
2012,Female,166 
2013,Male,20219 
2013,Female,668 
2014,Male,21078 
2014,Female,699 
2015,Male,25655 
2015,Female,1013 
2016,Male,29660 
2016,Female,1184 
2017,Male,24926 
2017,Female,996 
2018,Male,24314 
2018,Female,953 
2019,Male,24949 
2019,Female,1131 
